"map","locus","path_name"
"map05220","TR10293-c0_g1_i1","Chronic myeloid leukemia"
"map05220","TR8109-c0_g1_i1","Chronic myeloid leukemia"
"map05220","TR10663-c0_g1_i1","Chronic myeloid leukemia"
"map05221","TR11348-c0_g1_i1","Acute myeloid leukemia"
"map05221","TR7809-c0_g1_i1","Acute myeloid leukemia"
"map05221","TR8339-c0_g1_i1","Acute myeloid leukemia"
"map05221","TR2059-c0_g1_i1","Acute myeloid leukemia"
"map05221","TR7233-c0_g1_i1utrorf","Acute myeloid leukemia"
"map05221","TR6952-c0_g1_i1","Acute myeloid leukemia"
"map05221","TR10293-c0_g1_i1","Acute myeloid leukemia"
"map05221","TR10947-c0_g1_i1","Acute myeloid leukemia"
"map05221","TR452-c0_g1_i1","Acute myeloid leukemia"
"map05221","TR9108-c0_g1_i1","Acute myeloid leukemia"
"map05221","TR1200-c0_g1_i1","Acute myeloid leukemia"
"map05221","TR8109-c0_g1_i1","Acute myeloid leukemia"
"map05221","TR10057-c0_g1_i1utrorf","Acute myeloid leukemia"
"map05221","TR10663-c0_g1_i1","Acute myeloid leukemia"
"map05222","TR12708-c0_g1_i1","Small cell lung cancer"
"map05222","TR9502-c1_g1_i1","Small cell lung cancer"
"map05222","TR3376-c0_g1_i1","Small cell lung cancer"
"map05223","TR2059-c0_g1_i1","Non-small cell lung cancer"
"map05223","TR1699-c0_g1_i1","Non-small cell lung cancer"
"map05223","TR452-c0_g1_i1","Non-small cell lung cancer"
"map05223","TR7233-c0_g1_i1utrorf","Non-small cell lung cancer"
"map05223","TR1200-c0_g1_i1","Non-small cell lung cancer"
"map05223","TR8109-c0_g1_i1","Non-small cell lung cancer"
"map05223","TR12708-c0_g1_i1","Non-small cell lung cancer"
"map05223","TR6952-c0_g1_i1","Non-small cell lung cancer"
"map05223","TR10293-c0_g1_i1","Non-small cell lung cancer"
"map05223","TR13770-c0_g1_i1","Non-small cell lung cancer"
